Sample,gene,RNA,CpG
GSM2159865_GSM2186704,IL4,4.50234801750766,0.86820267614572
GSM2159866_GSM2186705,IL4,4.39252104247774,0.913945393195953
GSM2159867_GSM2186706,IL4,4.58031375417138,0.88457610868156
GSM2159868_GSM2186707,IL4,4.3774256784423,0.897000726286003
GSM2159869_GSM2186708,IL4,4.4249688230155,0.918984504665975
GSM2159870_GSM2186709,IL4,4.64397236149469,0.863634301183854
GSM2159871_GSM2186710,IL4,4.43196548972234,0.914272448243258
GSM2159872_GSM2186711,IL4,4.43835731422369,0.923955419138719
GSM2159873_GSM2186712,IL4,4.76089776679193,0.85403487946005
GSM2159874_GSM2186713,IL4,4.74575190673934,0.900416889686411
GSM2159875_GSM2186714,IL4,4.34729398927742,0.894067746217377
GSM2159876_GSM2186715,IL4,4.57010577593177,0.886476709456102
GSM2159877_GSM2186716,IL4,4.80439948848184,0.880093775599705
GSM2159878_GSM2186717,IL4,4.75630274824614,0.860945131183392
GSM2159879_GSM2186718,IL4,4.31843687233848,0.868462760049034
GSM2159880_GSM2186719,IL4,4.36138088729939,0.91603608266426
GSM2159881_GSM2186720,IL4,4.58588936731987,0.889774372879463
GSM2159882_GSM2186721,IL4,4.83447909858687,0.887755870506947
GSM2159883_GSM2186722,IL4,4.47296522778086,0.848328575746779
GSM2159829_GSM2186668,TRIP6,6.81112995803312,0.04230345737165692
GSM2159830_GSM2186669,TRIP6,7.14550562822173,0.03868675379020407
GSM2159831_GSM2186670,TRIP6,7.12071733502868,0.039967901017800476
GSM2159832_GSM2186671,TRIP6,6.65488516649691,0.038449527889016774
GSM2159833_GSM2186672,TRIP6,6.88711197680324,0.0360444082804594
GSM2159834_GSM2186673,TRIP6,6.9792209235675,0.0366350972906273
GSM2159835_GSM2186674,TRIP6,6.66474969794089,0.03901363336909245
GSM2159836_GSM2186675,TRIP6,7.36851515147765,0.044572190700967525
GSM2159837_GSM2186676,TRIP6,7.18309164046369,0.042685872493099075
GSM2159838_GSM2186677,TRIP6,7.51597895302416,0.0411465607547665
GSM2159839_GSM2186678,TRIP6,6.92115195717154,0.04693170850868182
GSM2159840_GSM2186679,TRIP6,7.34502225388247,0.04676789747646142
GSM2159841_GSM2186680,TRIP6,6.8036830381972,0.045351808605101074
GSM2159842_GSM2186681,TRIP6,6.50822836894823,0.044639419755558296
GSM2159843_GSM2186682,TRIP6,6.67709872070796,0.0415378160034368
GSM2159844_GSM2186683,TRIP6,6.78659222594121,0.043223850176271575
GSM2159845_GSM2186684,TRIP6,6.50197002663971,0.04673822849495453
GSM2159846_GSM2186685,TRIP6,6.83920656868567,0.04108395966019258
GSM2159847_GSM2186686,TRIP6,7.08353757301837,0.045049792316947904
GSM2159848_GSM2186687,TRIP6,7.28029902163555,0.04364323026258767
GSM2159849_GSM2186688,TRIP6,6.56172664143164,0.05217003577068065
GSM2159850_GSM2186689,TRIP6,6.58006377860134,0.043977802815241177
GSM2159851_GSM2186690,TRIP6,6.5199609114271,0.04692882965557875
GSM2159852_GSM2186691,TRIP6,6.37308642454791,0.04403312481118597
GSM2159853_GSM2186692,TRIP6,6.61812543066478,0.0408735388593159
GSM2159854_GSM2186693,TRIP6,7.49962945063009,0.040091116017777526
